,freight_value,price,payment_value,payment_installments
57839,17.91,171.0,188.91,2
52486,16.14,53.9,70.04,1
53558,22.32,55.9,156.44,4
57700,15.1,43.2,58.3,1
33676,13.14,144.41,157.55,1
4656,42.83,295.0,337.83,6
111864,47.34,41.0,88.34,2
91731,11.24,90.0,202.48,1
71995,14.21,124.0,138.21,2
83842,34.72,79.9,229.24,8
91022,60.22,88.2,583.82,1
41947,17.78,125.0,142.78,2
10462,17.67,59.9,77.57,1
87233,7.78,35.0,42.78,1
20409,14.52,13.9,56.84,1
15875,11.82,131.99,143.81,2
18529,22.25,45.0,67.25,2
102939,8.72,33.0,5.5,1
93686,16.67,129.89,146.56,1
73636,21.22,59.99,81.21,1
4343,15.23,25.0,68.45,1
36617,16.79,48.99,65.78,6
37557,0.0,69.9,69.9,1
15478,11.9,99.99,111.89,2
47311,18.27,99.9,118.17,3
49653,19.95,24.9,44.85,1
80319,21.53,148.9,170.43,5
10116,13.44,59.9,73.34,1
83893,7.39,14.5,44.08,1
9298,7.39,18.9,26.29,2
108047,14.09,215.9,229.99,1
107227,38.55,72.0,110.55,5
87153,7.39,29.99,485.94,1
79262,51.06,109.9,160.96,4
32257,21.68,170.0,191.68,4
84521,18.63,13.9,32.53,1
5406,23.63,149.9,173.53,6
90700,15.1,28.5,87.2,1
44986,25.47,139.9,165.37,7
876,49.05,196.99,1230.2,10
76114,18.56,64.99,83.55,8
43510,12.6,26.74,236.04,1
63161,11.73,59.9,71.63,2
27519,13.64,89.0,30.0,1
66709,19.29,107.0,126.29,3
105176,21.22,104.53,377.25,1
21568,7.78,23.99,31.77,2
12321,30.73,230.0,260.73,2
46849,18.72,119.9,138.62,3
10706,13.44,59.9,58.42,1
107327,27.42,159.95,187.37,5
8311,16.48,112.0,128.48,2
67515,24.84,13.99,155.32,7
77130,14.0,29.9,87.8,1
61162,16.6,33.0,49.6,2
102545,59.56,79.0,138.56,2
44593,34.15,29.99,64.14,6
35804,11.85,49.9,123.5,1
6370,28.56,319.9,348.46,5
22445,15.35,84.99,100.34,3
75719,15.1,19.9,35.0,3
50935,14.31,79.9,94.21,5
6245,12.14,149.9,324.08,1
7230,7.78,29.99,37.77,2
41165,12.19,78.9,261.89,1
26839,16.51,59.0,181.03,1
19964,7.78,49.0,56.78,1
85521,162.92,399.0,561.92,5
87239,16.81,150.0,166.81,5
27147,17.87,89.0,106.87,2
63331,21.26,59.9,81.16,8
19822,12.4,129.0,141.4,3
35363,9.25,284.9,294.15,3
5222,14.07,149.9,163.97,1
69887,22.02,174.33,196.35,4
29611,12.69,169.99,182.68,8
44103,22.88,166.8,189.68,1
69982,17.24,36.49,53.73,1
46093,12.76,89.9,102.66,1
3469,15.42,96.0,111.42,2
15617,11.73,69.99,81.72,1
76642,17.6,30.21,47.81,1
30647,27.75,66.99,94.74,2
32426,13.13,98.0,111.13,2
25770,23.22,91.2,114.42,5
104890,13.84,116.99,130.83,8
62922,13.37,41.8,55.17,5
8236,41.08,99.0,86.98,1
111525,31.74,480.0,1535.22,1
49479,34.22,60.0,94.22,1
40879,12.61,159.0,171.61,1
47416,12.86,69.9,82.76,1
78196,19.24,194.8,856.16,1
55481,39.0,650.0,1377.99,8
50207,15.44,98.0,113.44,1
24128,15.15,56.99,18.27,1
11616,13.41,49.0,62.41,1
17403,15.1,45.95,122.1,2
39904,15.11,45.9,61.01,2
67176,16.25,69.9,86.15,4
101402,27.45,309.99,337.44,3
24065,12.79,21.99,34.78,1
83960,18.23,28.49,46.72,1
81330,13.68,138.9,152.58,1
34089,14.1,19.9,34.0,1
29306,16.83,231.27,248.1,1
55456,18.46,219.0,237.46,1
79814,20.89,328.0,348.89,1
66339,8.73,81.0,89.73,1
99060,19.59,49.9,69.49,1
7565,15.23,23.99,78.44,1
99874,13.5,120.0,267.0,1
58747,16.79,13.65,30.44,1
55656,16.46,74.5,166.33,1
86285,16.06,168.99,185.05,3
16670,26.94,56.9,83.84,4
47729,16.22,292.9,59.12,1
13735,7.39,35.0,84.78,1
91757,26.85,78.0,104.85,1
26164,11.85,34.9,46.75,1
40997,27.66,339.9,117.56,5
35238,12.99,818.9,831.89,8
40921,17.67,59.99,77.66,1
1570,26.11,86.96,339.21,8
79972,19.63,199.0,218.63,10
85784,12.48,29.99,42.47,4
46279,19.09,169.99,15.0,1
93203,16.74,79.0,95.74,3
44646,18.23,29.99,48.22,4
77254,14.1,25.0,30.22,1
51520,31.67,375.0,406.67,8
107915,43.36,135.0,178.36,10
110305,18.37,69.9,88.27,8
35527,35.0,319.9,354.9,1
59641,23.17,64.89,88.06,1
98578,14.16,59.0,73.16,1
40257,16.58,116.9,133.48,5
30672,27.51,64.99,92.5,3
49548,38.38,348.99,387.37,3
99857,17.13,349.0,366.13,1
21262,19.17,79.99,99.16,1
93207,16.77,83.0,99.77,1
15206,14.52,34.9,98.84,8
112577,14.1,7.45,107.75,1
31282,15.11,23.99,39.1,1
25521,67.14,110.0,177.14,1
97226,26.55,897.0,923.55,1
41865,17.19,87.67,104.86,2
64371,12.88,48.9,130.01,1
103698,17.0,2399.0,2416.0,10
49603,12.58,125.02,137.6,1
73451,18.23,14.99,66.44,1
45696,16.79,25.9,85.38,1
30902,37.7,112.99,150.69,4
109920,9.34,16.9,26.24,1
83320,12.39,134.2,146.59,3
86049,7.78,21.9,89.04,1
93116,45.2,199.99,245.19,10
86522,17.6,48.9,66.5,1
41066,25.05,79.99,105.04,1
6597,12.68,139.9,305.16,10
86108,15.1,15.9,31.0,1
43231,18.89,143.6,162.49,8
73070,22.85,79.9,102.75,10
87913,48.21,34.9,223.24,1
35632,17.13,339.9,357.03,3
9573,13.13,79.0,92.13,1
72044,17.95,99.99,117.94,1
96447,7.78,35.0,42.78,3
62842,17.75,70.97,177.44,1
64159,15.01,200.0,215.01,6
47677,15.49,89.9,105.39,3
36400,12.94,39.99,52.93,1
105230,26.89,84.9,111.79,1
95366,25.07,209.99,235.06,3
66700,23.24,195.0,218.24,1
84967,10.96,18.99,59.9,2
84889,17.12,58.9,76.02,1
52081,36.08,135.0,171.08,2
6152,8.64,44.9,53.54,2
6075,18.09,119.9,13.56,1
42705,19.36,55.0,74.36,3
80652,17.5,177.97,390.94,10
69877,18.79,98.9,50.0,1
