iter	Passed	Remaining
0	172	34334
1	207	20565
2	236	15504
3	267	13091
4	297	11614
5	328	10629
6	358	9888
7	392	9417
8	434	9218
9	475	9038
10	508	8733
11	547	8570
12	583	8396
13	622	8270
14	664	8199
15	698	8033
16	735	7922
17	771	7795
18	806	7682
19	854	7694
20	908	7744
21	952	7704
22	993	7644
23	1044	7660
24	1088	7620
25	1151	7706
26	1196	7668
27	1243	7637
28	1285	7578
29	1329	7533
30	1386	7559
31	1433	7524
32	1475	7468
33	1520	7421
34	1574	7422
35	1638	7463
36	1683	7414
37	1725	7354
38	1768	7302
39	1812	7249
40	1869	7249
41	1911	7191
42	1950	7122
43	1990	7058
44	2038	7020
45	2088	6991
46	2136	6955
47	2177	6896
48	2217	6834
49	2256	6770
50	2301	6724
51	2348	6685
52	2387	6620
53	2427	6563
54	2469	6511
55	2513	6463
56	2569	6445
57	2611	6393
58	2654	6344
59	2707	6317
60	2762	6295
61	2807	6249
62	2848	6194
63	2891	6143
64	2936	6099
65	2998	6087
66	3042	6039
67	3091	6001
68	3220	6113
69	3325	6176
70	3377	6135
71	3443	6122
72	3536	6152
73	3609	6145
74	3666	6111
75	3735	6093
76	3791	6056
77	3840	6007
78	3890	5959
79	3937	5906
80	3988	5859
81	4021	5787
82	4054	5714
83	4086	5643
84	4122	5577
85	4169	5527
86	4204	5461
87	4238	5394
88	4271	5327
89	4309	5266
90	4350	5210
91	4396	5160
92	4428	5094
93	4463	5033
94	4498	4972
95	4536	4914
96	4574	4857
97	4624	4812
98	4660	4754
99	4697	4697
100	4733	4639
101	4766	4579
102	4803	4524
103	4851	4478
104	4884	4419
105	4918	4361
106	4954	4305
107	4988	4249
108	5027	4197
109	5074	4152
110	5117	4103
111	5162	4056
112	5196	4000
113	5229	3944
114	5268	3893
115	5302	3839
116	5334	3784
117	5367	3729
118	5401	3676
119	5443	3628
120	5478	3577
121	5518	3528
122	5556	3478
123	5590	3426
124	5624	3374
125	5679	3335
126	5729	3293
127	5785	3254
128	5840	3214
129	5887	3170
130	5923	3120
131	5964	3072
132	6013	3029
133	6053	2981
134	6089	2932
135	6125	2882
136	6166	2835
137	6206	2788
138	6248	2742
139	6283	2692
140	6315	2642
141	6348	2592
142	6382	2543
143	6416	2495
144	6449	2446
145	6513	2409
146	6560	2365
147	6592	2316
148	6624	2267
149	6656	2218
150	6686	2169
151	6717	2121
152	6816	2094
153	6863	2050
154	6900	2003
155	6936	1956
156	6973	1909
157	7006	1862
158	7046	1816
159	7082	1770
160	7116	1723
161	7159	1679
162	7198	1634
163	7237	1588
164	7278	1543
165	7319	1499
166	7355	1453
167	7393	1408
168	7433	1363
169	7469	1318
170	7509	1273
171	7548	1228
172	7584	1183
173	7622	1138
174	7658	1094
175	7695	1049
176	7735	1005
177	7773	960
178	7808	916
179	7843	871
180	7877	826
181	7908	782
182	7941	737
183	7985	694
184	8021	650
185	8055	606
186	8092	562
187	8127	518
188	8161	475
189	8196	431
190	8231	387
191	8265	344
192	8300	301
193	8333	257
194	8367	214
195	8399	171
196	8431	128
197	8472	85
198	8516	42
199	8554	0
