seller_id,seller_zip_code_prefix,seller_city,seller_state
3442f8959a84dea7ee197c632cb2df15,13023,campinas,São Paulo
d1b65fc7debc3361ea86b5f14c68d2e2,13844,mogi guacu,São Paulo
ce3ad9de960102d0677a81f5d0bb7b2d,20031,rio de janeiro,Rio de Janeiro
c0f3eea2e14555b6faeea3dd58c1b1c3,4195,São Paulo,São Paulo
51a04a8a6bdcb23deccc82b0b80742cf,12914,braganca paulista,São Paulo
c240c4061717ac1806ae6ee72be3533b,20920,rio de janeiro,Rio de Janeiro
e49c26c3edfa46d227d5121a6b6e4d37,55325,brejao,Pernambuco
1b938a7ec6ac5061a66a3766e0e75f90,16304,penapolis,São Paulo
768a86e36ad6aae3d03ee3c6433d61df,1529,São Paulo,São Paulo
ccc4bbb5f32a6ab2b7066a4130f114e3,80310,curitiba,Paraná
8cb7c5ddf41f4d506eba76e9a4702a25,75110,anapolis,Goiás
a7a9b880c49781da66651ccf4ba9ac38,13530,itirapina,São Paulo
8bd0f31cf0a614c658f6763bd02dea69,1222,São Paulo,São Paulo
05a48cc8859962767935ab9087417fbb,5372,São Paulo,São Paulo
7b8e8ec35bad4b0ef7e3963650b0a87b,88705,tubarao,Santa Catarina
1444c08e64d55fb3c25f0f09c07ffcf2,42738,lauro de freitas,Bahia
166e8f1381e09651983c38b1f6f91c11,88780,imbituba,Santa Catarina
e38db885400cd35c71dfd162f2c1dbcf,70740,brasilia,Distrito Federal
d2e753bb80b7d4faa77483ed00edc8ca,45810,porto seguro,Bahia
f9ec7093df3a7b346b7bcf7864069ca3,5138,São Paulo,São Paulo
4e6015589b781adaa5ce7f1892d06bb1,11440,guaruja,São Paulo
4cf490a58259286ada5ba8525ba9e84a,14910,tabatinga,São Paulo
f7496d659ca9fdaf323c0aae84176632,4156,São Paulo,São Paulo
2ff97219cb8622eaf3cd89b7d9c09824,13320,salto,São Paulo
8bd0e3abda539b9479c4b44a691be1ec,98910,tres de maio,Rio Grande do Sul
2a1348e9addc1af5aaa619b1a3679d6b,30494,belo horizonte,Minas Gerais
2078fe5066350e7d220c0ad3a3bbc6c1,86707,arapongas,Paraná
116ccb1a1604bc88e4d234a8c23f33de,9850,São Bernardo do Campo,São Paulo
430315b7bb4b6e4b3c978f9dfa9b0558,4857,São Paulo,São Paulo
406822777a0b9eb5c50e442dd4cd3ec5,18500,tatui,São Paulo
4dbd95a08b31ede5c82d3f861cb1ce1a,80210,curitiba,Paraná
e9e446d01bd10a97a8ffcfc4a3a20cb2,2261,São Paulo,São Paulo
d52cbce9845184537284a23c3bc3da0e,88495,garopaba,Santa Catarina
d9a84e1403de8da0c3aa531d6d108ba6,3562,São Paulo,São Paulo
9c690ceacd5c66731bf443ea810195cb,37650,camanducaia,Minas Gerais
1f9ab4708f3056ede07124aad39a2554,17602,tupa,São Paulo
1961c3e1272bfeceb05d0b78b5bbfdaf,7241,guarulhos,São Paulo
d3e7d37c0df9aef383f3f2a15b0dddfb,83050,sao jose dos pinhais,Paraná
ec2e006556300a79a5a91e4876ab3a56,3445,São Paulo,São Paulo
b2a6d334e2833acea353624840e25a0e,4133,São Paulo,São Paulo
d3674f271c91f824f82d24d92011f669,72233,brasilia,Distrito Federal
768de2a4fc06aacecb9a586ccc30746a,70645,brasilia,Distrito Federal
a81466620e46a6970b22ef40379fdfc9,88730,sao ludgero,Santa Catarina
5c030029b5916fed0986310385ec9009,88075,sao jose,Santa Catarina
c0f783394e37cd9c9d7f5f81141450fa,13416,piracicaba,São Paulo
c353f8fc0ce8344999f17d578eb69a5e,90850,porto alegre,Rio Grande do Sul
8444e55c1f13cd5c179851e5ca5ebd00,37584,congonhal,Minas Gerais
28a26ebce31d5918b181ede016fd693b,31950,belo horizonte,Minas Gerais
41ab63a91b8b264e8c8780368bf1dd5b,31555,belo horizonte,Minas Gerais
8759e7aedd644f487315e5860962f162,9251,santo andre,São Paulo
e546117ed9cafbc40239c0c78635c584,4705,São Paulo,São Paulo
d71d863e5ef30d94e440c11be17dcd8f,6144,osasco,São Paulo
0c7533c71df861ec58ad7ff999ed0e8d,13270,valinhos,São Paulo
ef990a83bbea832f36ebe81376335aa8,89214,joinville,Santa Catarina
41e0fa5761c886a630994a55c12087e7,11446,guaruja,São Paulo
0747d5bb69f0586cc869d8af4c50f93e,28990,saquarema,Rio de Janeiro
7d294cf9a6a69dc6a0c3e540fff0e039,88390,barra velha,Santa Catarina
c89cf7c468a48af70aada384e722f9e2,25730,petropolis,Rio de Janeiro
b7ba853e9551f4558440881fd3e5c815,95500,santo antonio da patrulha,Rio Grande do Sul
13c2ed7698b3ca92dad49e849219da59,84010,ponta grossa,Paraná
cbbd5ae8f53de5f5097cd8217b529e24,6544,santana de parnaiba,São Paulo
02ecc2a19303f05e59ce133fd923fff7,9121,santo andre,São Paulo
c013e57c075a06e5b5c48ee03c525719,13568,sao carlos,São Paulo
55f7a3319d80f7fdf078b8f03e6725fe,6056,osasco,São Paulo
2d50d6282f8aa2257819a77bfaa0efe0,14940,ibitinga,São Paulo
b7e1750c1157341d2abd0251e07c186b,5741,São Paulo,São Paulo
b90e891671cffd9557f33a97dc523645,83010,sao jose dos pinhais,Paraná
a416b6a846a11724393025641d4edd5e,3702,São Paulo,São Paulo
7e93a43ef30c4f03f38b393420bc753a,6429,barueri,São Paulo
5206cc4bc2297c833e6061c49bf9c43f,6192,osasco,São Paulo
f410c8873029fcc3809b9df6d0b28914,95076,caxias do sul,São Paulo
ef506c96320abeedfb894c34db06f478,3569,São Paulo,São Paulo
a13aaf2d2886ab9fb30fb9a920160b8f,89207,joinville,Santa Catarina
7299e27ed73d2ad986de7f7c77d919fa,38440,araguari,Minas Gerais
8a9260f2b0340411d6d2a56bcf4f7378,32180,contagem,Minas Gerais
dedcab67899479e4ea5dcc4eba47f587,89258,jaragua do sul,Santa Catarina
b2479f944e1b90cf8a5de1bbfde284d6,14940,ibitinga,São Paulo
7722b1df1b0e383e000397b2c11e3e19,9715,São Bernardo do Campo,São Paulo
731ef20c231d9a7103a425e83fd91271,88501,lages - sc,Santa Catarina
78813699ffac347fe27dba345a5f1551,95711,bento goncalves,Rio Grande do Sul
3296662b1331dea51e744505065ae889,15805,catanduva,São Paulo
411f3b52d857390502ee4e4d5ceabc2d,9400,ribeirao pires,São Paulo
bba3293d6f5d5af2f415e004e8b93ae3,4726,São Paulo,São Paulo
4e7c18b98d84e05cbae3ff0ff03846c2,14882,jaboticabal,São Paulo
b56906f7fd1696e043f1bcce164c487b,19830,echapora,São Paulo
d650b663c3b5f6fb392b6326366efa9a,6713,cotia,São Paulo
669ae81880e08f269a64487cfb287169,89160,rio do sul,Santa Catarina
c2d70ce2c5d0a2eb75e78668236e6dc8,4275,São Paulo,São Paulo
674207551483fec113276b67b0d871ff,18040,sorocaba,São Paulo
abe42c5d03695b4257b5c6cbf4e6784e,21235,rio de janeiro,Rio de Janeiro
1996942dc085d7773ba77a529b163cd0,14850,pradopolis,São Paulo
79b93a308a97792cf53ac75f46da00b5,22420,rio de janeiro,Rio de Janeiro
7cf4ea70955b00d6b3c22542598e2715,1125,São Paulo,São Paulo
63ffcb71394dd8ea3872ed9ffda17c74,24813,itaborai,Rio de Janeiro
83353a83fd769dfafa4f21a72b15e3e5,5786,São Paulo,São Paulo
cda598c48d7c614bc1cad7d8ff6f0010,15137,mirassol,São Paulo
d4910f1cdcfdabd48d6b316e395d4a23,9190,santo andre,São Paulo
709e16e2b25c7474d980076c6bfc4806,16200,birigui,São Paulo
9dc79dd988ac42f4d56c340d7048420a,3569,São Paulo,São Paulo
276677b5d08786d5dce7c2149dcce48b,31730,belo horizonte,Minas Gerais
9c4d31c7e46ab03a43fc06e3142afd4e,20785,rio de janeiro,Rio de Janeiro
512d298ac2a96d1931b6bd30aa21f61d,20060,rio de janeiro,Rio de Janeiro
422be4cc81a457fdb46f47edeb968ae5,14940,ibitinga,São Paulo
99cd94252748d2bdde08e17858233602,12401,São Paulo,São Paulo
698624c6632eeba1774924dbea24c700,1425,São Paulo,São Paulo
8bb48dc19fccaa8613b6229bf7f452a2,19803,assis,São Paulo
ad87df7699e83b8a91822a4a0b765c3a,13820,jaguariuna,São Paulo
d6b664fa0667064c6d76394e7848d790,14801,araraquara,São Paulo
98f52e1020fe788c10c0418de4393fec,27963,macae,Rio de Janeiro
62760d278921b5f352461620d68a9cee,13320,salto,São Paulo
eb72802c83dc7547529c9546d1a9b8ef,13504,rio claro,São Paulo
3f9be91358837bff69df67edfa3e42e8,86039,londrina,Paraná
1d4587203296c8f4ad134dc286fa6db0,5101,São Paulo,São Paulo
791cfcfe22fe4a771ece27f90017da92,14010,ribeirao preto,São Paulo
392f7f2c797e4dc077e4311bde2ab8ce,21210,rio de janeiro,Rio Grande do Norte
0c8380b62e38e8a1e6adbeba7eb9688c,37410,tres coracoes,Minas Gerais
37be5a7c751166fbc5f8ccba4119e043,4248,São Paulo,São Paulo
87d73636a3acf123e842bb890a4db036,15190,nhandeara,São Paulo
3d3ccf2b2f8134b10dce9dd446f0e075,14940,ibitinga,São Paulo
e24d3429d294b2eb200b064ebb035879,3514,São Paulo,São Paulo
44073f8b7e41514de3b7815dd0237f4f,71070,brasilia,Distrito Federal
05ca864204d09595ae591b93ea9cf93d,6465,barueri,São Paulo
9d39404483343dd55c7ae254494d8388,1044,São Paulo,São Paulo
f9eda05b67bef472deaddbba84aca289,88870,orleans,Santa Catarina
75745ef7bc7d4f3ea3380f6f5303f514,70384,brasilia,Distrito Federal
0692610d8abe24f287e9fae90ea0bbee,2310,São Paulo,São Paulo
7b07b3c7487f0ea825fc6df75abd658b,2016,São Paulo,São Paulo
99002261c568a84cce14d43fcffb43ea,78095,cuiaba,Mato Grosso
e5899683388855d3dabe8913bbe365de,13575,sao carlos,São Paulo
784ba75dd9d20200c4caed3d7a77141a,1040,São Paulo,São Paulo
099095b050cfe8eb1ddff5317587e96e,3322,São Paulo,São Paulo
0ad80de75c811326389cfb1daba7d45e,20261,rio de janeiro,Rio de Janeiro
b9a03475e6447e631b6799ec8274800f,85830,formosa do oeste,Paraná
ba6b4a237f92479743cf0ca06b67a9ac,23550,rio de janeiro,Rio de Janeiro
ea00f977a203ff88adf7057cb7806998,11085,santos,São Paulo
82e0a475a88cc9595229d8029273f045,3417,São Paulo,São Paulo
ad75519a07f039025e83795a4418470f,76500,santa terezinha de goias,Goiás
34aefe746cd81b7f3b23253ea28bef39,81210,curitiba,Paraná
ed4acab38528488b65a9a9c603ff024a,8260,São Paulo,São Paulo
f0837c8d71434931d9e38e7b79234797,95995,arvorezinha,Rio Grande do Sul
fce62094ffe6a4009188ec44e681dfdd,4674,São Paulo,São Paulo
ebef8d8c92b4fd3226e5d407bbff21ac,14020,ribeirao preto,São Paulo
d73cbd89533ce8b041a9190241453ac8,36525,guiricema,Minas Gerais
75a4764c108403a7a0575140cb22287c,95072,caxias do sul,Rio Grande do Sul
70c0fda4c313d87115644d39e62eec60,55004,caruaru,Pernambuco
ffcfefa19b08742c5d315f2791395ee5,80045,curitiba,Paraná
26e13b6ff5b641b329e5524241ee2c93,14401,Franca,São Paulo
0ade5cc4a305ed7093a23f68ca47519c,81030,curitiba,Paraná
fc59392d66ef99377e50356ee4f3b4e1,40243,salvador,Bahia
b18dc380845b24038cfc48006478f099,9951,diadema,São Paulo
f22a247b79dd22ecd91dc8e3b2a1b07c,8573,itaquaquecetuba,São Paulo
889009a0ed0bb52c87819941192931b8,18682,lencois paulista,São Paulo
ffc470761de7d0232558ba5e786e57b7,7091,guarulhos,São Paulo
4c498c7345e89aebad651544829beca0,6341,carapicuiba,São Paulo
01bcc9d254a0143f0ce9791b960b2a47,76400,uruacu,Goiás
f021c962aaba8ef6eb527a9c2c8394d1,88301,itajai,Santa Catarina
024b564ae893ce8e9bfa02c10a401ece,3280,São Paulo,São Paulo
a513150f33f99a06569e9cd5c4bb889b,1545,São Paulo,São Paulo
c1dde11f12d05c478f5de2d7319ad3b2,1026,São Paulo,São Paulo
